time,counter,IMU_Accel_x,IMU_Accel_y,IMU_Accel_z,IMU_Gyro_x,IMU_Gyro_y,IMU_Gyro_z,Battery_1,Battery_2,Brake_Pedal,ca_AmpHrs,ca_Voltage,ca_Current,ca_Speed,ca_Miles,motor_temp,control_info
2024-01-03 04:46:17.929759,0,,,,,,,,,,,,,,,,
2024-01-03 04:46:18.442111,1,,,,,,,,,,,,,,,,
2024-01-03 04:46:18.947756,2,,,,,,,,,,,,,,,,
2024-01-03 04:46:19.453563,3,,,,,,,,,,,,,,,,
2024-01-03 04:46:19.959480,4,,,,,,,,,,,,,,,,
2024-01-03 04:46:20.465566,5,,,,,,,,,,,,,,,,
2024-01-03 04:46:20.971241,6,,,,,,,,,,,,,,,,
2024-01-03 04:46:21.477081,7,,,,,,,,,,,,,,,,
2024-01-03 04:46:21.983109,8,,,,,,,,,,,,,,,,
2024-01-03 04:46:22.488825,9,,,,,,,,,,,,,,,,
2024-01-03 04:46:22.994866,10,,,,,,,,,,,,,,,,
2024-01-03 04:46:23.500704,11,,,,,,,,,,,,,,,,
2024-01-03 04:46:24.006712,12,,,,,,,,,,,,,,,,
2024-01-03 04:46:24.512599,13,,,,,,,,,,,,,,,,
2024-01-03 04:46:25.018253,14,,,,,,,,,,,,,,,,
2024-01-03 04:46:25.523999,15,,,,,,,,,,,,,,,,
2024-01-03 04:46:26.029606,16,,,,,,,,,,,,,,,,
2024-01-03 04:46:26.535601,17,,,,,,,,,,,,,,,,
2024-01-03 04:46:27.041342,18,,,,,,,,,,,,,,,,
2024-01-03 04:46:27.547215,19,,,,,,,,,,,,,,,,
2024-01-03 04:46:28.052965,20,,,,,,,,,,,,,,,,
2024-01-03 04:46:28.559145,21,,,,,,,,,,,,,,,,
2024-01-03 04:46:29.064896,22,,,,,,,,,,,,,,,,
2024-01-03 04:46:29.570611,23,,,,,,,,,,,,,,,,
2024-01-03 04:46:30.076237,24,,,,,,,,,,,,,,,,
2024-01-03 04:46:30.582136,25,,,,,,,,,,,,,,,,
2024-01-03 04:46:31.088474,26,,,,,,,,,,,,,,,,
2024-01-03 04:46:31.594466,27,,,,,,,,,,,,,,,,
2024-01-03 04:46:32.100316,28,,,,,,,,,,,,,,,,
2024-01-03 04:46:32.606084,29,,,,,,,,,,,,,,,,
2024-01-03 04:46:33.111787,30,,,,,,,,,,,,,,,,
2024-01-03 04:46:33.617457,31,,,,,,,,,,,,,,,,
